,0
0,0.7960526315789473
1,0.8628318584070797
2,0.8805309734513275
3,0.9026548672566371
4,0.8982300884955752
5,0.9026548672566371
6,0.9092920353982301
7,0.9203539823008849
8,0.911504424778761
9,0.915929203539823
10,0.918141592920354
11,0.911504424778761
12,0.9247787610619469
13,0.9292035398230089
14,0.9026548672566371
15,0.918141592920354
16,0.918141592920354
17,0.9292035398230089
18,0.9048672566371682
19,0.9314159292035398
20,0.9203539823008849
21,0.922566371681416
22,0.9292035398230089
23,0.922566371681416
24,0.911504424778761
25,0.918141592920354
26,0.9358407079646017
27,0.911504424778761
28,0.918141592920354
29,0.9314159292035398
30,0.9402654867256637
31,0.918141592920354
32,0.9203539823008849
33,0.9292035398230089
34,0.9269911504424779
35,0.9292035398230089
36,0.9402654867256637
37,0.9137168141592921
38,0.9380530973451328
39,0.922566371681416
40,0.9402654867256637
41,0.9380530973451328
42,0.9424778761061947
43,0.9269911504424779
44,0.9336283185840708
45,0.9292035398230089
46,0.9247787610619469
47,0.9380530973451328
48,0.9247787610619469
49,0.9446902654867256
50,0.9269911504424779
51,0.9336283185840708
52,0.9358407079646017
53,0.9247787610619469
54,0.9247787610619469
55,0.9269911504424779
56,0.9469026548672567
57,0.918141592920354
58,0.9424778761061947
59,0.9269911504424779
60,0.9247787610619469
61,0.9336283185840708
62,0.9292035398230089
63,0.9314159292035398
64,0.9292035398230089
65,0.9358407079646017
66,0.9292035398230089
67,0.9336283185840708
68,0.9314159292035398
69,0.9320175438596491
70,0.9314159292035398
71,0.9314159292035398
72,0.9292035398230089
73,0.9358407079646017
74,0.9292035398230089
75,0.9269911504424779
76,0.9292035398230089
